Author: Ve90_SHORT   
Nucleus: 30Si   
Reaction:  (3He.d)    
Type: stripping   
BA:  8.520654    
BA1:  8.481167    
E n l JP C2S
0 2 0  0.5   0.64 
 1266.13  1 2  1.5   0.69 
 2233.6  1 2  2.5   0.06 
 3134.3  2 0  0.5   0.03 
 4190.9  1 2  2.5   0.03 
 4260.4  1 2  1.5   0.005 
 4431.2  1 3  -3.5   0.3 
 4592.5  1 2  1.5   0.03 
 5015.2  2 1  -1.5   0.17 
5256 2 0  0.5   0.05 
 5558.9  1 2  1.5   0.02 
 5987.9  1 2  1.5   0.007 
 6336.6  2 0  0.5   0.004 
 6380.8  1 2  1.5   0.22 
 6460.8  1 2  2.5   0.04 
 6496.1  2 1  -1.5   0.05 
 6594.3  1 3  -2.5   0.03 
 6610.4  2 1  -1.5   0.02 
 6841.9  1 3  -2.5   0.005 
 6909.6  2 1  -1.5   0.02 
 6931.4  1 2  2.5   0.02 
 7141.1  2 0  0.5   0.11 
 7214.3  2 1  -0.5;-1.5   0.008 


